epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88349,1.29707,3.73332,1.61659,0.78503,0.4,0.43394,0.25693,1.82434,4.26081,2.76707,0.00054,0.00054,0.00054
2,16.6375,1.46684,1.7618,1.72489,0.00132,0.13333,0.00075,0.00015,4.27681,251.942,50.8393,0.00108185,0.00108185,0.00108185
3,24.2965,1.53962,1.71466,1.76282,0,0,0,0,4.81325,130.339,49.385,0.00160522,0.00160522,0.00160522
4,32.4417,1.60115,1.67722,1.82862,0.0002,0.03333,0.00011,2e-05,4.14055,58.684,6.75867,0.001901,0.001901,0.001901
5,40.0201,1.62797,1.7068,1.77134,0,0,0,0,4.00897,5.96138,4.79427,0.001868,0.001868,0.001868
6,47.5614,1.58866,1.53534,1.73497,0.10944,0.16667,0.03456,0.00682,3.49119,5.4745,3.71308,0.001835,0.001835,0.001835
7,55.0881,1.52278,1.48161,1.70927,0.41347,0.30568,0.32496,0.1175,2.14092,3.12803,2.73629,0.001802,0.001802,0.001802
8,62.6782,1.5235,1.442,1.72425,0.49489,0.36667,0.42136,0.1905,2.09584,4.18085,2.69201,0.001769,0.001769,0.001769
9,70.2728,1.53004,1.46878,1.73379,0.77754,0.46667,0.48093,0.20794,2.18521,2.33134,2.89789,0.001736,0.001736,0.001736
10,77.9102,1.43131,1.37592,1.64885,0.63884,0.43333,0.4759,0.26232,1.88616,3.08396,2.43624,0.001703,0.001703,0.001703
11,85.5523,1.36824,1.26666,1.59239,0.61072,0.33333,0.39607,0.23646,1.68673,3.62396,2.07754,0.00167,0.00167,0.00167
12,93.2055,1.41855,1.36067,1.6249,0.56868,0.43333,0.51762,0.27164,1.84461,3.29297,2.27471,0.001637,0.001637,0.001637
13,100.766,1.3833,1.24982,1.58833,0.78277,0.53333,0.51513,0.25794,1.95214,2.76119,2.56802,0.001604,0.001604,0.001604
14,108.335,1.30235,1.16869,1.54032,0.58378,0.46667,0.4553,0.25935,1.69371,2.62527,2.2092,0.001571,0.001571,0.001571
15,115.927,1.28257,1.13878,1.50602,0.97385,0.56667,0.62083,0.39652,1.62009,1.80353,1.99345,0.001538,0.001538,0.001538
16,123.515,1.28648,1.11905,1.51763,0.92466,0.6,0.63121,0.46823,1.25988,2.04047,1.69524,0.001505,0.001505,0.001505
17,131.113,1.21661,1.06004,1.49537,0.98407,0.6,0.72283,0.47196,1.46145,1.41149,1.79813,0.001472,0.001472,0.001472
18,138.74,1.26325,1.04965,1.51715,0.9176,0.74267,0.8217,0.48497,1.35908,1.17136,1.79479,0.001439,0.001439,0.001439
19,146.347,1.23052,1.0226,1.44355,0.95242,0.76667,0.86584,0.50266,1.4964,1.08492,1.84287,0.001406,0.001406,0.001406
20,153.975,1.21338,0.98787,1.48002,0.94553,0.66667,0.79453,0.51334,1.44231,1.17007,1.75627,0.001373,0.001373,0.001373
21,161.588,1.19716,1.02752,1.46983,1,0.59422,0.64572,0.43261,1.46662,1.67664,1.88281,0.00134,0.00134,0.00134
22,169.147,1.19299,1.01175,1.44724,0.79211,0.76217,0.81441,0.52837,1.34193,1.03885,1.67735,0.001307,0.001307,0.001307
23,176.77,1.1814,0.99562,1.46398,0.9543,0.69621,0.83572,0.59068,1.21712,1.08822,1.55773,0.001274,0.001274,0.001274
24,184.377,1.15069,0.9793,1.40985,0.80308,0.54413,0.59199,0.38733,1.48741,1.92795,1.94026,0.001241,0.001241,0.001241
25,191.981,1.12312,0.89,1.39203,0.89842,0.63333,0.78071,0.49588,1.33449,1.01971,1.70557,0.001208,0.001208,0.001208
26,199.52,1.11447,0.86003,1.38233,0.9932,0.63333,0.77854,0.55557,1.15525,1.05004,1.54682,0.001175,0.001175,0.001175
27,207.059,1.09973,0.85892,1.39254,0.95409,0.693,0.86805,0.56707,1.27659,0.98135,1.58963,0.001142,0.001142,0.001142
